"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 28 21:55:42 GMT 2022","Wed Sep 28 21:55:47 GMT 2022","5311","","Telnyx","","","","should after move to Products, show right href",""
"passed","Wed Sep 28 21:55:10 GMT 2022","Wed Sep 28 21:55:12 GMT 2022","1594","","Telnyx","","","","should has Telnyx in title",""
"passed","Wed Sep 28 21:55:47 GMT 2022","Wed Sep 28 21:55:49 GMT 2022","2363","","Telnyx","","","","should after move to Pricing, show right count href",""
"passed","Wed Sep 28 21:55:15 GMT 2022","Wed Sep 28 21:55:19 GMT 2022","4603","","Telnyx","","","","should after click on ""Sign up"", contain title Sign Up",""
"passed","Wed Sep 28 21:55:19 GMT 2022","Wed Sep 28 21:55:23 GMT 2022","3895","","Telnyx","","","","should after enter email on main page, show email on register page",""
"passed","Wed Sep 28 21:55:12 GMT 2022","Wed Sep 28 21:55:15 GMT 2022","2902","","Telnyx","","","","should has buttons on the page menu",""
"passed","Wed Sep 28 21:55:38 GMT 2022","Wed Sep 28 21:55:42 GMT 2022","3718","","Telnyx","","","","should after click on ""Talk to an expert"", switch to page Contact",""
"passed","Wed Sep 28 21:55:23 GMT 2022","Wed Sep 28 21:55:30 GMT 2022","7065","","Telnyx","","","","should registration with empty credentials",""
"passed","Wed Sep 28 21:55:30 GMT 2022","Wed Sep 28 21:55:38 GMT 2022","7314","","Telnyx","","","","should registration with right credentials",""
"passed","Wed Sep 28 21:55:49 GMT 2022","Wed Sep 28 21:56:29 GMT 2022","39901","","Telnyx","","","","should have the correct title of all product links",""
